Date,Location_1,Avg(RLA%)Ckt-1-C01,Avg(RLA%)Ckt-2-C01,Approach temp-C01,Avg(RLA%)Ckt-1-C02,Avg(RLA%)Ckt-2-C02,Approach temp-C02,Avg(RLA%)Ckt-1-C03,Avg(RLA%)Ckt-2-C03,Approach temp-C03,Avg(RLA%)Ckt-1-C04,Avg(RLA%)Ckt-2-C04,Approach temp-C04,Location_2,Avg(RLA%)Ckt-1-D01,Avg(RLA%)Ckt-2-D01,Approach temp-D01,Avg(RLA%)Ckt-1-D02,Avg(RLA%)Ckt-2-D02,Approach temp-D02,Avg(RLA%)Ckt-1-D03,Avg(RLA%)Ckt-2-D03,Approach temp-D03,Avg(RLA%)Ckt-1-D04,Avg(RLA%)Ckt-2-D04,Approach temp-D04
1/3/2023,Building_C,67,73,4.6,73,75,7.3,0,0,0,0,0,0,Building_D,71,73,7.2,75,75,8.8,73,98,11.2,0,0,0
2/3/2023,Building_C,72,76,5.1,82,78,7.9,0,0,0,0,0,0,Building_D,77,74,7.5,78,78,8.9,86,103,11,0,0,0
3/3/2023,Building_C,77,78,5.5,84,85,8.1,0,0,0,0,0,0,Building_D,71,71,7.4,71,73,8.6,69,95,11.3,0,0,0
4/3/2023,Building_C,72,73,5.3,80,73,7.6,0,0,0,0,0,0,Building_D,67,69,6,66,66,6.9,63,93,9.8,0,0,0
5/3/2023,Building_C,77,72,5.2,81,81,7.7,0,0,0,0,0,0,Building_D,65,66,5.4,65,66,6.1,61,92,9.2,0,0,0
6/3/2023,Building_C,0,0,0,0,0,0,68,70,5,68,67,6.9,Building_D,70,69,5.6,70,70,6.5,68,94,7.7,0,0,0
7/3/2023,Building_C,0,0,0,0,0,0,78,72,5.8,79,78,7.7,Building_D,73,76,6.7,77,76,6.7,75,93,8.2,75,74,7.3
8/3/2023,Building_C,0,0,0,0,0,0,76,74,6.1,86,89,8.1,Building_D,73,76,5.6,73,73,6.3,76,94,8.1,71,71,6.7
9/3/2023,Building_C,0,0,0,0,0,0,87,83,6.7,96,90,8.7,Building_D,73,76,5.6,88,88,5.6,0,0,0,84,84,7.6
10/3/2023,Building_C,0,0,0,0,0,0,89,88,7.2,97,92,8.5,Building_D,90,88,5.9,81,90,7.5,0,0,0,86,86,7.6
11/3/2023,Building_C,0,0,0,0,0,0,92,91,6.3,97,92,7.4,Building_D,97,96,5.8,98,96,7.6,0,0,0,93,93,7.7
12/3/2023,Building_C,0,0,0,0,0,0,83,84,6.1,98,91,6.6,Building_D,94,93,5.4,92,95,7.2,0,0,0,88,86,7.5
13/3/2023,Building_C,0,0,0,0,0,0,77,77,4.9,89,81,6.4,Building_D,72,74,5,73,77,6.5,0,0,0,71,69,7.3
14/3/2023,Building_C,0,0,0,0,0,0,69,69,4.3,69,85,6.1,Building_D,66,64,4.7,66,67,6.2,0,0,0,64,64,6
15/3/2023,Building_C,0,0,0,0,0,0,79,77,5.1,91,85,6.4,Building_D,76,77,5.1,66,76,6.4,0,0,0,75,74,6.4
16/3/2023,Building_C,0,0,0,0,0,0,87,86,5.5,96,92,6.3,Building_D,103,91,5.8,101,103,7.1,0,0,0,100,105,8.6
17/3/2023,Building_C,0,0,0,0,0,0,80,82,4.9,91,89,6.8,Building_D,92,95,7.2,92,95,7.9,0,0,0,86,87,7.2
18/3/2023,Building_C,0,0,0,0,0,0,87,87,5,96,93,5.3,Building_D,97,96,7.1,96,99,7.9,0,0,0,92,90,7.4
19/3/2023,Building_C,0,0,0,0,0,0,84,85,5.2,94,97,6.3,Building_D,93,94,5.6,93,95,7,0,0,0,87,87,7.2
20/3/2023,Building_C,0,0,0,0,0,0,86,86,5.6,95,93,7.8,Building_D,103,98,7.6,105,95,8.8,0,0,0,101,100,7.7
21/3/2023,Building_C,0,0,0,0,0,0,92,93,5.4,96,94,7.8,Building_D,102,97,7.7,104,101,8.8,0,0,0,100,102,7.7
22/3/2023,Building_C,0,0,0,0,0,0,89,89,5.5,96,95,7.9,Building_D,102,98,7.7,102,102,8.5,0,0,0,99,99,7.7
23/3/2023,Building_C,0,0,0,0,0,0,89,90,5.4,96,94,8.8,Building_D,102,98,7.8,105,102,8.9,0,0,0,101,101,7.8
24/3/2023,Building_C,0,0,0,0,0,0,95,95,5.8,97,95,8.1,Building_D,103,98,7.6,100,102,8.5,0,0,0,101,100,8.1
25/3/2023,Building_C,0,0,0,0,0,0,92,91,5.1,97,96,7.6,Building_D,103,98,7.6,101,102,8.4,0,0,0,100,102,7.4
26/3/2023,Building_C,0,0,0,0,0,0,92,92,5.1,94,95,7.4,Building_D,103,98,7.6,99,102,8.8,0,0,0,101,102,8.1
27/3/2023,Building_C,0,0,0,0,0,0,97,99,5.2,98,95,7.2,Building_D,103,99,7.5,100,102,8.4,0,0,0,100,102,7.2
28/3/2023,Building_C,0,0,0,0,0,0,96,95,5.6,96,100,5.8,Building_D,102,98,7.7,101,102,8.5,0,0,0,97,96,8.1
29/3/2023,Building_C,0,0,0,0,0,0,96,96,5.8,101,100,8.2,Building_D,103,98,7.7,100,103,8.5,0,0,0,99,99,8.1
30/3/2023,Building_C,0,0,0,0,0,0,91,92,5.8,100,98,8.4,Building_D,90,90,7.4,88,89,8.2,0,0,0,83,83,7
31/3/2023,Building_C,0,0,0,0,0,0,89,89,5.8,96,95,8.1,Building_D,102,98,8.2,97,102,8.4,0,0,0,97,96,8
1/4/2023,Building_C,0,0,0,0,0,0,87,87,5.3,96,94,7.1,Building_D,103,98,5.5,102,102,7.6,0,0,0,102,93,7.8
2/4/2023,Building_C,0,0,0,0,0,0,88,87,5.2,95,94,7.1,Building_D,97,97,5.3,97,101,7.6,0,0,0,102,92,7.2
3/4/2023,Building_C,0,0,0,0,0,0,85,85,5.1,95,94,7.1,Building_D,101,96,5.6,101,104,7.3,0,0,0,100,100,8.1
4/4/2023,Building_C,0,0,0,0,0,0,90,89,5.4,96,95,7.1,Building_D,99,96,5.6,99,101,7.5,0,0,0,93,92,7.4
5/4/2023,Building_C,0,0,0,0,0,0,90,90,5.4,94,96,7.4,Building_D,101,97,5.7,97,101,7.8,0,0,0,95,94,7.4
6/4/2023,Building_C,0,0,0,0,0,0,91,95,5.6,94,96,7.8,Building_D,102,98,8.1,102,102,8.8,0,0,0,98,97,7.6
7/4/2023,Building_C,0,0,0,0,0,0,101,98,6.4,99,92,7.7,Building_D,104,99,6.2,98,103,8.2,0,0,0,103,103,8.8
8/4/2023,Building_C,0,0,0,0,0,0,90,89,5.5,97,93,7.2,Building_D,96,96,5.8,96,99,7.6,0,0,0,89,88,7.1
9/4/2023,Building_C,0,0,0,0,0,0,90,98,5.5,97,96,7.1,Building_D,87,85,5,91,93,7.1,0,0,0,89,88,7
10/4/2023,Building_C,0,0,0,0,0,0,95,91,5.5,97,97,7.3,Building_D,104,99,5.7,100,103,7.6,0,0,0,102,103,8.1
11/4/2023,Building_C,0,0,0,0,0,0,102,101,6,99,98,7.2,Building_D,104,99,5.8,99,104,8,0,0,0,102,104,8.4
12/4/2023,Building_C,0,0,0,0,0,0,103,102,6.1,100,99,7.8,Building_D,102,100,7.9,95,105,8.1,0,0,0,104,101,8.1
13/4/2023,Building_C,0,0,0,0,0,0,0,0,0,0,0,0,Building_D,0,0,0,0,0,0,0,0,0,0,0,0
14/4/2023,Building_C,0,0,0,0,0,0,0,0,0,0,0,0,Building_D,0,0,0,0,0,0,0,0,0,0,0,0
15/4/2023,Building_C,0,0,0,0,0,0,0,0,0,0,0,0,Building_D,0,0,0,0,0,0,0,0,0,0,0,0
16/4/2023,Building_C,0,0,0,0,0,0,0,0,0,0,0,0,Building_D,0,0,0,0,0,0,0,0,0,0,0,0
17/4/2023,Building_C,84,83,5.4,89,90,7.1,0,0,0,0,0,0,Building_D,0,0,0,84,96,8.1,0,0,0,91,87,8.2
18/4/2023,Building_C,108,107,7.8,108,109,8.2,0,0,0,0,0,0,Building_D,0,0,0,96,104,9.2,0,0,0,103,100,10.2
19/4/2023,Building_C,85,85,5.4,90,90,6.3,87,87,5,0,0,0,Building_D,0,0,0,9.5,9.5,8.1,98,102,7.8,87,88,7.9
20/4/2023,Building_C,81,81,5.4,89,90,6,81,81,4.8,0,0,0,Building_D,0,0,0,84,85,8,8.8,101,4.7,82,82,7.6
21/4/2023,Building_C,82,83,3.1,87,87,5.4,85,86,4.6,0,0,0,Building_D,0,0,0,88,102,7.1,90,95,7.7,102,90,6.4
22/4/2023,Building_C,80,81,2.5,89,88,4.8,85,86,4.4,0,0,0,Building_D,0,0,0,89,89,6.4,95,101,7.5,82,82,6.1
23/4/2023,Building_C,88,77,2.9,81,82,5.1,81,80,4.6,0,0,0,Building_D,0,0,0,83,83,6.1,95,101,7.7,78,78,7.8
24/4/2023,Building_C,81,81,2.9,88,88,5.1,86,85,4.6,0,0,0,Building_D,0,0,0,79,80,6.1,78,100,7.7,75,75,5.8
25/4/2023,Building_C,82,82,3,89,89,5.5,87,87,4.9,0,0,0,Building_D,0,0,0,75,75,6.1,76,98,7.8,72,70,5.7
26/4/2023,Building_C,83,82,3,84,82,5.3,86,85,4.5,0,0,0,Building_D,0,0,0,71,71,5.8,77,96,8.3,67,68,5.1
27/4/2023,Building_C,79,80,3.1,85,86,5.2,87,87,4.4,0,0,0,Building_D,0,0,0,73,74,6.3,87,98,4,66,66,5.1
28/4/2023,Building_C,79,80,3.1,82,85,5.3,83,85,4.2,0,0,0,Building_D,0,0,0,78,78,7,92,98,4.7,67,96,5
29/4/2023,Building_C,80,79,3,84,84,5.2,82,82,4.6,0,0,0,Building_D,0,0,0,63,64,5.1,66,85,7.8,89,83,9.8
30/4/2023,Building_C,76,76,2.9,81,79,5.1,81,81,4.7,0,0,0,Building_D,0,0,0,82,81,7.7,66,95,7.8,64,96,9.6
1/5/2023,Building_C,0,0,4.5,0,0,5.7,0,0,0,0,0,0,Building_D,0,0,0,0,0,7.3,0,0,0,0,0,9.6
2/5/2023,Building_C,97,98,4.7,104,104,7.3,0,0,0,0,0,0,Building_D,0,0,0,97,102,9.3,0,0,0,99,104,10.4
3/5/2023,Building_C,78,78,3.3,80,84,5.4,0,0,5,0,0,0,Building_D,0,0,0,98,102,10,0,0,0,103,106,9.7
4/5/2023,Building_C,79,78,3.1,0,0,5.4,82,82,0,79,76,2.6,Building_D,0,0,0,90,94,9.2,0,0,0,101,104,9.3
5/5/2023,Building_C,81,84,3.5,0,0,0,84,86,4.7,78,80,2.8,Building_D,0,0,0,82,89,9.3,101,92,8.6,0,0,0
6/5/2023,Building_C,73,72,3.4,0,0,0,84,86,4.2,76,69,2.2,Building_D,0,0,4.5,70,71,5.5,89,90,7.5,0,0,0
7/5/2023,Building_C,80,84,3.2,0,0,0,83,82,4,71,71,2.2,Building_D,0,0,4.4,72,72,5.5,90,96,7.5,0,0,0
8/5/2023,Building_C,66,76,3.1,0,0,0,103,101,5.1,90,89,2.6,Building_D,73,73,4.5,74,74,5.7,93,98,7.9,0,0,0
