Date,Raw water Meter A,Raw water Meter B,Raw water Meter C,Raw water Meter D,Raw water Meter E,Meter Supply ADE ,Meter Supply BC,R/O water Meter C,R/O water Meter E,Drinking water Meter, Softener Meter Building C, Softener Meter Building D,Mix Coolant Meter C,Mix Coolant Meter DE
1/1/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2023,0,0,0,0,0,0,0,0,0,0,121,0,0,0
3/1/2023,436,335,201,102,2018,1020,838,66,269,1,131,63,0,0
4/1/2023,221,166,217,77,437,324,270,7,721,9,135,135,9,0
5/1/2023,217,164,183,123,363,315,245,0,668,9,139,42,24,0
6/1/2023,231,172,193,119,364,342,264,12,676,8,57,63,18,0
7/1/2023,215,154,79,101,384,318,254,0,643,7,132,19,0,0
8/1/2023,43,25,193,5,494,243,231,8,168,3,126,44,31,0
9/1/2023,273,205,170,192,374,346,252,57,748,10,125,39,17,0
10/1/2023,234,171,208,121,376,332,256,9,757,19,132,67,0,0
11/1/2023,229,165,208,105,399,328,250,7,706,10,127,20,2,0
12/1/2023,224,163,210,95,405,320,232,9,691,10,119,45,37,0
13/1/2023,216,156,222,73,429,330,237,0,712,9,112,44,17,0
14/1/2023,182,132,205,60,454,557,259,28,685,10,112,44,18,0
15/1/2023,40,201,36,4,525,28,186,8,97,6,105,45,8,0
16/1/2023,377,101,320,0,585,523,337,9,1058,9,114,44,16,0
17/1/2023,121,97,77,272,205,142,107,9,318,8,111,44,17,0
18/1/2023,309,242,158,213,380,499,232,9,711,10,103,43,16,0
19/1/2023,289,227,148,209,378,378,220,44,699,8,108,43,14,0
20/1/2023,257,190,139,143,451,317,229,9,679,12,108,40,16,0
21/1/2023,248,181,140,139,347,302,225,17,675,3,109,43,18,0
22/1/2023,49,33,2,12,492,236,200,17,181,5,101,41,15,0
23/1/2023,263,198,145,169,394,322,225,11,720,14,106,44,9,0
24/1/2023,269,197,138,171,388,339,235,9,753,9,107,44,21,0
25/1/2023,269,195,152,164,671,333,218,9,690,11,102,37,15,0
